asdf_id,worldpop_pop_count_1km_mosaic.2020.sum,Level,gqid,id,shapeGroup,shapeID,shapeISO,shapeName,shapeType
0,1066950.625,ADM1,0,0,DOM,DOM-ADM1-4615305B20080102,DO-25,Santiago,ADM1
1,355095.5,ADM1,1,1,DOM,DOM-ADM1-4615305B6356787,DO-06,Duarte,ADM1
2,78511.671875,ADM1,2,2,DOM,DOM-ADM1-4615305B31488483,DO-07,Elías Piña,ADM1
3,104551.015625,ADM1,3,3,DOM,DOM-ADM1-4615305B72510429,DO-30,Hato Mayor,ADM1
4,482378.4375,ADM1,4,4,DOM,DOM-ADM1-4615305B24860958,DO-13,La Vega,ADM1
5,159011.796875,ADM1,5,5,DOM,DOM-ADM1-4615305B47159676,DO-24,Sánchez Ramírez,ADM1
6,108584.960938,ADM1,6,6,DOM,DOM-ADM1-4615305B90191036,DO-20,Samaná,ADM1
7,234033.96875,ADM1,7,7,DOM,DOM-ADM1-4615305B17340173,DO-27,Valverde,ADM1
8,211650.15625,ADM1,8,8,DOM,DOM-ADM1-4615305B21667931,DO-04,Barahona,ADM1
9,293854.9375,ADM1,9,9,DOM,DOM-ADM1-4615305B97931442,DO-12,La Romana,ADM1
10,187549.953125,ADM1,10,10,DOM,DOM-ADM1-4615305B93141447,DO-28,Monseñor Nouel,ADM1
11,182885.125,ADM1,11,11,DOM,DOM-ADM1-4615305B58029258,DO-15,Monte Cristi,ADM1
12,65551.03125,ADM1,12,12,DOM,DOM-ADM1-4615305B97890631,DO-16,Pedernales,ADM1
13,284996.875,ADM1,13,13,DOM,DOM-ADM1-4615305B97705953,DO-17,Peravia,ADM1
14,325144.84375,ADM1,14,14,DOM,DOM-ADM1-4615305B21660189,DO-18,Puerto Plata,ADM1
15,62089.2109375,ADM1,15,15,DOM,DOM-ADM1-4615305B99755788,DO-31,San José de Ocoa,ADM1
16,240813.234375,ADM1,16,16,DOM,DOM-ADM1-4615305B25601215,DO-22,San Juan,ADM1
17,55172.296875,ADM1,17,17,DOM,DOM-ADM1-4615305B72382162,DO-26,Santiago Rodríguez,ADM1
18,1099421.5,ADM1,18,18,DOM,DOM-ADM1-4615305B44377477,DO-01,Distrito Nacional,ADM1
19,88923.03125,ADM1,19,19,DOM,DOM-ADM1-4615305B34403945,DO-08,El Seibo,ADM1
20,320693.8125,ADM1,20,20,DOM,DOM-ADM1-4615305B8300711,DO-09,Espaillat,ADM1
21,92592.296875,ADM1,21,21,DOM,DOM-ADM1-4615305B61878568,DO-19,Hermanas Mirabal,ADM1
22,73708.6328125,ADM1,22,22,DOM,DOM-ADM1-4615305B73620585,DO-10,Independencia,ADM1
23,154915.484375,ADM1,23,23,DOM,DOM-ADM1-4615305B81528587,DO-03,Baoruco,ADM1
24,247863.9375,ADM1,24,24,DOM,DOM-ADM1-4615305B49477683,DO-02,Azua,ADM1
25,91535.2421875,ADM1,25,25,DOM,DOM-ADM1-4615305B84168094,DO-05,Dajabón,ADM1
26,533455.1875,ADM1,26,26,DOM,DOM-ADM1-4615305B56848486,DO-11,La Altagracia,ADM1
27,188881.40625,ADM1,27,27,DOM,DOM-ADM1-4615305B17254461,DO-14,María Trinidad Sánchez,ADM1
28,3314987.75,ADM1,28,28,DOM,DOM-ADM1-4615305B93961881,DO-32,Santo Domingo,ADM1
29,234050.09375,ADM1,29,29,DOM,DOM-ADM1-4615305B66260249,DO-29,Monte Plata,ADM1
30,663890.9375,ADM1,30,30,DOM,DOM-ADM1-4615305B97012001,DO-21,San Cristóbal,ADM1
31,371173.84375,ADM1,31,31,DOM,DOM-ADM1-4615305B87914131,DO-23,San Pedro de Macorís,ADM1
